class_idx,class_name,train_count,class_weight
0,acne_vulgaris,1727,1.0578211545944214
1,atopic_dermatitis,1376,1.3276578187942505
2,basal_cell_carcinoma,4247,0.43015235662460327
3,contact_dermatitis,1062,1.7202045917510986
4,drug_eruptions,1115,1.6384367942810059
5,folliculitis,825,2.214372158050537
6,fungal_nail_infections,844,2.164522647857666
7,lupus_related_skin_lesions,900,2.029841184616089
8,melanoma,6367,0.28692588210105896
9,plaque_psoriasis,2342,0.7800414562225342
10,seborrheic_dermatitis,839,2.177422285079956
11,tinea_corporis,1353,1.3502269983291626
12,vitiligo,1175,1.5547720193862915
13,warts,1404,1.301180362701416
